ANY_SUBVENCIO,DATA_SUBVENCIO,"CIF_BENEFICIARI","BENEFICIARI","CONVOCATORIA","CENTRE_GESTOR","SITUACIO",IMPORT_SOLICITAT,IMPORT_CONCEDIT,"CODI_ENS","NOM_ENS"
"2012","2012/11/16","A58130998","CANSALADERIAS MARTINEZ NAVARRO SA","SUBVENCIÓ 2012 PER A LA MILLORA DEL COMERÇ","Comerç i Indústria","CONCESSIÓ VALIDADA O APROVADA","800.00","800.00","818460009","Ajuntament de Rubí"
"2012","2012/07/31","G60423308","C E B  SANT JORDI","PREMIS PARTICIPACIÓ JOCS ESPORTIUS ESCOLARS DE RUBÍ 2011-2012","Esports","PAGADA","280.14","280.14","818460009","Ajuntament de Rubí"
"2012","2012/07/09","Q0801826I","ESCOLA DEL BOSC","AJUTS A LES ESCOLES I IES PÚBLICS PER A LA REALITZACIÓ D'ACTIVITATS O PROJECTES PEDAGÒGICS","Educació","CONCESSIÓ VALIDADA O APROVADA","1299.00","563.00","818460009","Ajuntament de Rubí"
"2012","2012/10/05","G08886384","APA COL·LEGI PUBLIC MARIA MONTESSORI DE RUBI","MINORACIÓ DE QUOTA","Educació","CONCESSIÓ VALIDADA O APROVADA","1470.00","1470.00","818460009","Ajuntament de Rubí"
"2012","2012/07/09","G61380697","LA CAMARA TEATRE RUBI","PROJECTES D'ACTIVITAT DE LES ENTITATS CULTURALS","Cultura","JUSTIFICADA","500.00","450.00","818460009","Ajuntament de Rubí"
"2012","2012/11/27","G64315658","ASSOCIACIO DE PARES I MARES CEIP RIVO RUBEO","MINORACIÓ DE QUOTA","Educació","CONCESSIÓ VALIDADA O APROVADA","2530.00","2530.00","818460009","Ajuntament de Rubí"
"2012","2012/07/09","G62129119","ASSOCIACIO GENT GRAN DE RUBI","PROJECTES D'ACTIVITAT DE LES ENTITATS CULTURALS","Cultura","JUSTIFICADA","1560.00","700.00","818460009","Ajuntament de Rubí"
"2012","2012/07/09","S0800121F","CEE CA'N ORIOL","AJUTS A LES ESCOLES I IES PÚBLICS PER A LA REALITZACIÓ D'ACTIVITATS O PROJECTES PEDAGÒGICS","Educació","CONCESSIÓ VALIDADA O APROVADA","500.00","448.00","818460009","Ajuntament de Rubí"
"2012","2012/11/27","G60593944","APA 1993 CP 25 DE SETEMBRE  DE RUBI","CONTRACTACIÓ MONITORS","Educació","CONCESSIÓ VALIDADA O APROVADA","2799.95","2799.95","818460009","Ajuntament de Rubí"
"2012","2012/10/05","G59719278","APA CP JOAN MARAGALL DE RUBI LAS CABAÑAS","MINORACIÓ DE QUOTA","Educació","CONCESSIÓ VALIDADA O APROVADA","1000.00","1000.00","818460009","Ajuntament de Rubí"
"2012","2012/07/09","Q5855633C","ESCOLA MOSSEN CINTO VERDAGUER","AJUTS A LES ESCOLES I IES PÚBLICS PER A LA REALITZACIÓ D'ACTIVITATS O PROJECTES PEDAGÒGICS","Educació","CONCESSIÓ VALIDADA O APROVADA","714.00","714.00","818460009","Ajuntament de Rubí"
"2012","2012/07/31","S0800276H","ESCOLA RIVO RUBEO","AJUTS 2012 MANTENIMENT CORRECTIU DELS CENTRES D'EDUCACIÓ INFANTIL I PRIMÀRIA","Educació","CONCESSIÓ VALIDADA O APROVADA","1848.17","1848.17","818460009","Ajuntament de Rubí"
"2012","2012/03/27","G60208972","CLUB ESPORTIU RUBI FUTBOL SALA","DINAMITZACIÓ DEL PAVELLÓ POLIESPORTIU CAN ROSES","Esports","JUSTIFICADA PARCIALMENTE","64669.00","64669.00","818460009","Ajuntament de Rubí"
"2012","2012/07/31","G58269242","CLUB HANDBOL RUBI","PREMIS PARTICIPACIÓ JOCS ESPORTIUS ESCOLARS DE RUBÍ 2011-2012","Esports","PAGADA","32.20","32.20","818460009","Ajuntament de Rubí"
"2012","2012/02/21","G60571668","UNIO ATLETICA RUBI","OBRES REMODELACIÓ DE LA PISTA D'ATLETISME DE CAN ROSES","Esports","JUSTIFICADA PARCIALMENTE","19974.37","19974.37","818460009","Ajuntament de Rubí"
"2012","2012/12/18","Q5855637D","ESCOLA 25 DE SETEMBRE","2A CONVOCATÒRIA AJUTS MANTENIMENT CORRECTIU ESCOLES DE PRIMARIA","Educació","CONCESSIÓ VALIDADA O APROVADA","3219.39","3219.39","818460009","Ajuntament de Rubí"
"2012","2012/07/09","G63331847","ASSOC COLLA DE GEGANTERS DEL CEIP TERESA ALTET","PROJECTES D'ACTIVITAT DE LES ENTITATS CULTURALS","Cultura","JUSTIFICADA","2300.00","1100.00","818460009","Ajuntament de Rubí"
"2012","2012/07/09","G61816609","GRUP DE TEATRE GATZARA","PROJECTES D'ACTIVITAT DE LES ENTITATS CULTURALS","Cultura","JUSTIFICADA","450.00","450.00","818460009","Ajuntament de Rubí"
"2012","2012/07/09","G64172174","ASOC CULTURAL ANDALUZA AROMAS DEL SUR","PROJECTES D'ACTIVITAT DE LES ENTITATS CULTURALS","Cultura","JUSTIFICADA","1500.00","400.00","818460009","Ajuntament de Rubí"
"2012","2012/07/31","G59527903","CD OLIMPIC CAN FATJO","PREMIS PARTICIPACIÓ JOCS ESPORTIUS ESCOLARS DE RUBÍ 2011-2012","Esports","JUSTIFICADA","158.76","158.76","818460009","Ajuntament de Rubí"
"2012","2012/07/09","Q0801862D","INSTITUT TORRENT DELS ALOUS","AJUTS A LES ESCOLES I IES PÚBLICS PER A LA REALITZACIÓ D'ACTIVITATS O PROJECTES PEDAGÒGICS","Educació","CONCESSIÓ VALIDADA O APROVADA","1370.00","263.00","818460009","Ajuntament de Rubí"
"2012","2012/11/16","J66358938","OH-KBE ESTETICA I QUIROMASSATGE SCP","SUBVENCIÓ 2012 PER A LA MILLORA DEL COMERÇ","Comerç i Indústria","CONCESSIÓ VALIDADA O APROVADA","800.00","800.00","818460009","Ajuntament de Rubí"
"2012","2012/12/04","G62889969","ASOC CULTURAL URUGUAYO - CATALANA DE RUBI - LOS BOTIJAS","ENTITATS DE CARÀCTER SOLIDARI, PER A ACTIVITATS DE SENSIBILITZACIÓ DE COOPERACIÓ INTERNACIONAL","Sanitat i serveis socials","PAGADA","2175.00","2175.00","818460009","Ajuntament de Rubí"
