"REGISTRE","ESTAT","DATA_REGISTRE","DATA_BAIXA","TIPUS_IDENTIFICACIO","ESPECIE","SEXE","MIDA",DATA_NAIXEMENT,"RACA","PERILLOS","GOS_ASSITENCIA","CODI_ENS","NOM_ENS"
"R000305255","Vigent","2013-12-12",,"XIP","Gos","Femella","Mitjà","2012/04/15 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000305254","Vigent","2013-12-12",,"XIP","Gos","Mascle","Mitjà","2002/06/20 00:00:00.000000000","bòxer","No","No","818460009","Ajuntament de Rubí"
"R000305252","Vigent","2013-12-12",,"XIP","Gos","Femella","Mitjà","2009/06/08 00:00:00.000000000","bòxer","No","No","818460009","Ajuntament de Rubí"
"R000305250","Vigent","2013-12-12",,"XIP","Gos","Femella","Mitjà","2012/06/01 00:00:00.000000000","terrier Staffordshire americà","Si","No","818460009","Ajuntament de Rubí"
"R000305249","Vigent","2013-12-12",,"XIP","Gos","Femella","Mitjà","2013/01/14 00:00:00.000000000","gos d'aigua espanyol","No","No","818460009","Ajuntament de Rubí"
"R000305248","Vigent","2013-12-12",,"XIP","Gos","Mascle","Mitjà","2013/02/10 00:00:00.000000000","shar pei","No","No","818460009","Ajuntament de Rubí"
"R000305239","Vigent","2013-12-12",,"XIP","Gos","Femella","Mitjà","2013/04/16 00:00:00.000000000","retriever del Labrador","No","No","818460009","Ajuntament de Rubí"
"R000305234","Vigent","2013-12-12",,"XIP","Gos","Mascle",,,"indefinit","No","No","818460009","Ajuntament de Rubí"
"R000305228","Vigent","2013-12-12",,"XIP","Gos","Mascle","Gran","2013/05/12 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000305223","Vigent","2013-12-12",,"XIP","Gos","Femella","Mitjà","2013/04/21 00:00:00.000000000","fox terrier","No","No","818460009","Ajuntament de Rubí"
"R000305218","Vigent","2013-12-12",,"XIP","Gos","Mascle","Mitjà","2011/12/01 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000305214","Vigent","2013-12-12",,"XIP","Gos","Mascle","Petit","2013/11/15 00:00:00.000000000","bichon maltès","No","No","818460009","Ajuntament de Rubí"
"R000305209","Vigent","2013-12-12",,"XIP","Gos","Femella","Mitjà","2012/12/20 00:00:00.000000000","cocker spaniel americà","No","No","818460009","Ajuntament de Rubí"
"R000305212","Vigent","2013-12-12",,"XIP","Gos","Mascle","Mitjà","2012/07/27 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000305208","Vigent","2013-12-12",,"XIP","Gos","Mascle","Gran","2011/05/11 00:00:00.000000000","bòxer","No","No","818460009","Ajuntament de Rubí"
"R000305207","Vigent","2013-12-12",,"XIP","Gos","Mascle","Gran","2010/12/12 00:00:00.000000000","terrier Staffordshire americà","Si","No","818460009","Ajuntament de Rubí"
"R000305203","Vigent","2013-12-12",,"XIP","Gos","Mascle","Petit","2011/02/18 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000305205","Vigent","2013-12-12",,"XIP","Gos","Mascle","Gran","2012/06/15 00:00:00.000000000","setter escocès","No","No","818460009","Ajuntament de Rubí"
"R000305201","Vigent","2013-12-12",,"XIP","Gos","Mascle","Gran","2013/03/17 00:00:00.000000000","pastor alemany","No","No","818460009","Ajuntament de Rubí"
"R000305198","Vigent","2013-12-12",,"XIP","Gos","Mascle","Mitjà","2012/09/18 00:00:00.000000000","basset hound","No","No","818460009","Ajuntament de Rubí"
"R000305195","Vigent","2013-12-12",,"XIP","Gos","Mascle","Gran","2013/03/30 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000305193","Vigent","2013-12-12",,"XIP","Gos","Mascle","Gran","2012/12/31 00:00:00.000000000","pastor alemany","No","No","818460009","Ajuntament de Rubí"
"R000305190","Vigent","2013-12-12",,"XIP","Gos","Mascle","Petit","1983/11/18 00:00:00.000000000","Jack Russell terrier","No","No","818460009","Ajuntament de Rubí"
"R000305185","Vigent","2013-12-12",,"XIP","Gos","Femella","Mitjà","2012/10/01 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000305171","Vigent","2013-12-12",,"XIP","Gos","Femella","Mitjà","2011/06/25 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000144707","Vigent","2013-06-21",,"XIP","Gos","Mascle","Gran","2012/12/01 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000305179","Vigent","2013-12-12",,"XIP","Gos","Mascle","Mitjà","2013/03/23 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000305180","Vigent","2013-12-12",,"XIP","Gos","Mascle","Gran","2013/04/07 00:00:00.000000000","dog alemany atigrat","No","No","818460009","Ajuntament de Rubí"
"R000305176","Vigent","2013-12-12",,"XIP","Gos","Femella","Mitjà","2013/04/12 00:00:00.000000000","retriever del Labrador","No","No","818460009","Ajuntament de Rubí"
"R000305175","Vigent","2013-12-12",,"XIP","Gos","Mascle","Mitjà","2013/02/10 00:00:00.000000000","border collie","No","No","818460009","Ajuntament de Rubí"
