ANY,TRIMESTRE,"ANY_TRIMESTRE","DISTRICTE","SECCIO","DISTRICTE_SECCIO",CONSUM,"CODI_ENS","NOM_ENS"
"2017","4","2017-Q4","Districte 04","Secció 3","Districte 04 / Secció 3","14791.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 4","Districte 04 / Secció 4","20762.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 5","Districte 04 / Secció 5","16894.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 6","Districte 04 / Secció 6","14998.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 7","Districte 04 / Secció 7","15064.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 8","Districte 04 / Secció 8","9467.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 9","Districte 04 / Secció 9","35105.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 10","Districte 04 / Secció 10","24607.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 11","Districte 04 / Secció 11","25114.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 12","Districte 04 / Secció 12","14879.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 13","Districte 04 / Secció 13","19162.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 14","Districte 04 / Secció 14","16632.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 15","Districte 04 / Secció 15","13307.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 16","Districte 04 / Secció 16","17434.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 18","Districte 04 / Secció 18","12524.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 19","Districte 04 / Secció 19","11839.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 20","Districte 04 / Secció 20","11446.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 21","Districte 04 / Secció 21","39501.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 22","Districte 04 / Secció 22","19037.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 01","Secció 4","Districte 01 / Secció 4","20722.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 02","Secció 4","Districte 02 / Secció 4","9663.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 02","Secció 5","Districte 02 / Secció 5","9217.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 02","Secció 6","Districte 02 / Secció 6","16397.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 03","Secció 9","Districte 03 / Secció 9","29192.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 23","Districte 04 / Secció 23","12024.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 24","Districte 04 / Secció 24","10911.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 25","Districte 04 / Secció 25","9218.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 26","Districte 04 / Secció 26","20505.00","818460009","Ajuntament de Rubí"
