ANY,"ANY_TRIMESTRE",TRIMESTRE,"ANY_MES",MES,"MES_NOM","DISTRICTE","SECCIO","DISTRICTE_SECCIO",CONSUM_KWH,"CODI_ENS","NOM_ENS"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 03","Secció 9","Districte 03 / Secció 9","152194.84","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 23","Districte 04 / Secció 23","125913.39","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 24","Districte 04 / Secció 24","87029.78","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 25","Districte 04 / Secció 25","93550.26","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 26","Districte 04 / Secció 26","115494.36","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-05","5","Maig","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","13071155.03","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-05","5","Maig","Districte 01","Secció 1","Districte 01 / Secció 1","50745.90","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-05","5","Maig","Districte 01","Secció 2","Districte 01 / Secció 2","107315.93","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-05","5","Maig","Districte 01","Secció 3","Districte 01 / Secció 3","94008.38","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-05","5","Maig","Districte 02","Secció 1","Districte 02 / Secció 1","50371.13","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-05","5","Maig","Districte 02","Secció 3","Districte 02 / Secció 3",,"818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-05","5","Maig","Districte 03","Secció 1","Districte 03 / Secció 1","99238.34","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-05","5","Maig","Districte 03","Secció 3","Districte 03 / Secció 3","65524.44","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-05","5","Maig","Districte 03","Secció 4","Districte 03 / Secció 4","142615.65","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-05","5","Maig","Districte 03","Secció 5","Districte 03 / Secció 5","224688.72","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-05","5","Maig","Districte 03","Secció 6","Districte 03 / Secció 6","193597.28","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-05","5","Maig","Districte 03","Secció 7","Districte 03 / Secció 7","183947.46","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-05","5","Maig","Districte 03","Secció 8","Districte 03 / Secció 8","10959.98","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-05","5","Maig","Districte 04","Secció 1","Districte 04 / Secció 1","95920.95","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-05","5","Maig","Districte 04","Secció 2","Districte 04 / Secció 2","117423.48","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-05","5","Maig","Districte 04","Secció 3","Districte 04 / Secció 3","74836.75","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-05","5","Maig","Districte 04","Secció 4","Districte 04 / Secció 4","9615.90","818460009","Ajuntament de Rubí"
