"EXPEDIENT_SESSIO","DATA_SESSIO","HORA_INICI_SESSIO","HORA_FI_SESSIO","EXPEDIENT_PROPOSTA","PROCEDIMENT","DESCRIPCIO","DATA_SIGNATURA","RESULTAT_VOTACIO","PARTIT_POLITIC","ASSISTENT_CARREG","ASSISTENT","VOT","PRESENTA_AUP_AMUNT","PRESENTA_CS","PRESENTA_ECP_RUBI_ECG","PRESENTA_ERC_CM","PRESENTA_PSC_CP","PRESENTA_VR","PRESENTA_PP","PRESENTA_VOX","CODI_ENS","NOM_ENS","DATA_HORA_DADES",ID
"14/2020/PLE","26/11/2020","17:00 h","19:54 h","56/2020/MOC","MOC - Mocions al Ple","Moció del grup municipal d’Esquerra Republicana – Acord Municipal per reclamar una millora urgent de la gestió de les prestacions i subsidis d’atur i el cobrament dels ERTO","20/11/2020","REBUTJADA ABSOLUTA","PSC-CP",,"CUESTA FABRE,ANNABEL","NO","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6156"
"14/2020/PLE","26/11/2020","17:00 h","19:54 h","56/2020/MOC","MOC - Mocions al Ple","Moció del grup municipal d’Esquerra Republicana – Acord Municipal per reclamar una millora urgent de la gestió de les prestacions i subsidis d’atur i el cobrament dels ERTO","20/11/2020","REBUTJADA ABSOLUTA","PSC-CP",,"OLIVA MARTIN,MARTA","NO","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6157"
"14/2020/PLE","26/11/2020","17:00 h","19:54 h","56/2020/MOC","MOC - Mocions al Ple","Moció del grup municipal d’Esquerra Republicana – Acord Municipal per reclamar una millora urgent de la gestió de les prestacions i subsidis d’atur i el cobrament dels ERTO","20/11/2020","REBUTJADA ABSOLUTA","PSC-CP",,"ROMERO ALCALDE,MIGUEL ANGEL","NO","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6158"
"14/2020/PLE","26/11/2020","17:00 h","19:54 h","56/2020/MOC","MOC - Mocions al Ple","Moció del grup municipal d’Esquerra Republicana – Acord Municipal per reclamar una millora urgent de la gestió de les prestacions i subsidis d’atur i el cobrament dels ERTO","20/11/2020","REBUTJADA ABSOLUTA","ERC",,"CORBERA GAJU,XAVIER","SI","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6159"
"14/2020/PLE","26/11/2020","17:00 h","19:54 h","56/2020/MOC","MOC - Mocions al Ple","Moció del grup municipal d’Esquerra Republicana – Acord Municipal per reclamar una millora urgent de la gestió de les prestacions i subsidis d’atur i el cobrament dels ERTO","20/11/2020","REBUTJADA ABSOLUTA","ERC",,"SOLER PONS,MONTSERRAT","SI","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6160"
"14/2020/PLE","26/11/2020","17:00 h","19:54 h","56/2020/MOC","MOC - Mocions al Ple","Moció del grup municipal d’Esquerra Republicana – Acord Municipal per reclamar una millora urgent de la gestió de les prestacions i subsidis d’atur i el cobrament dels ERTO","20/11/2020","REBUTJADA ABSOLUTA","ERC",,"COTS GOMEZ,XAVIER","SI","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6161"
"14/2020/PLE","26/11/2020","17:00 h","19:54 h","56/2020/MOC","MOC - Mocions al Ple","Moció del grup municipal d’Esquerra Republicana – Acord Municipal per reclamar una millora urgent de la gestió de les prestacions i subsidis d’atur i el cobrament dels ERTO","20/11/2020","REBUTJADA ABSOLUTA","ERC",,"ESPARZA GONZALEZ,MARTA","SI","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6162"
"14/2020/PLE","26/11/2020","17:00 h","19:54 h","56/2020/MOC","MOC - Mocions al Ple","Moció del grup municipal d’Esquerra Republicana – Acord Municipal per reclamar una millora urgent de la gestió de les prestacions i subsidis d’atur i el cobrament dels ERTO","20/11/2020","REBUTJADA ABSOLUTA","ERC",,"MASALIAS GOMEZ,ROBERT","SI","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6163"
"14/2020/PLE","26/11/2020","17:00 h","19:54 h","56/2020/MOC","MOC - Mocions al Ple","Moció del grup municipal d’Esquerra Republicana – Acord Municipal per reclamar una millora urgent de la gestió de les prestacions i subsidis d’atur i el cobrament dels ERTO","20/11/2020","REBUTJADA ABSOLUTA","ERC",,"CASAS NAVARRO,SANDRA","SI","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6164"
"14/2020/PLE","26/11/2020","17:00 h","19:54 h","56/2020/MOC","MOC - Mocions al Ple","Moció del grup municipal d’Esquerra Republicana – Acord Municipal per reclamar una millora urgent de la gestió de les prestacions i subsidis d’atur i el cobrament dels ERTO","20/11/2020","REBUTJADA ABSOLUTA","ERC",,"ARNAIZ MORENO,OSCAR LUIS","SI","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6165"
